id,badgegeber_id,name,deklarierte_funktion,infocubeAPI,infocube_id,infoCubeDiff,noga,bemerkungen,,rote_flagge
1,1,Vincenzo Pedrazzini,FDP.Die Liberalen,370844,370844,,0,,,
247,1,0,0,,0,,0,0,,0
2,2,Donat Schneider,Ladwirtschaftliche Organisation Bern und der angrenzenden Gebiete (LOBAG),4937033,4937033,,0,,,
248,2,Werner Salzmann,SVP Kanton Bern,657680,418186,,"Cultural, education, scientific and research organisations",Mitglied im Zentralvorstand der SVP Schweiz,,
3,3,Etienne Bütikofer,Berufsverband Bildung,0,p20003213451,,0,"Kursleiter, Bildungs-Berater, Bildungs-Lobbyist",,
249,3,Markus Meyer,Präsident Schweizerisches Kompetenzzentrum Fischerei (KSF),5496091,,,0,"Präsident Bernisch Kantonaler Fischerei-Verband, Rechtsanwalt bei Bracher & Partner, Spezialist für Wirtschafts-, Verwaltungs- und Baurecht, über öffentliche Suchmaske zu wenig eindeutig. Privatadresse: Eisenbahnstrasse 11, 4901 Langenthal",,
4,4,0,0,0,0,,0,0,,0
250,4,0,0,0,0,,0,0,,0
5,5,Alex Fischer,WWF Schweiz,943511,p21005293744,,Other interest groups,"Dozent an der Central European University, Budapest",,
251,5,0,0,0,0,,0,0,,0
6,6,Kind Andrea,Gast,145057,,,Freight transport by road,"Musikerin (Konzerthackbrett),
Klangschalen-Masseurin und -therapeutin",,
252,6,0,0,0,0,,0,0,,0
7,7,Simon Affolter,Etat de Vaud,4421615,,,0,Delegierter des Kantons Waadt für interkantonale und europäische Angelegenheiten,,
253,7,Dore Heim,Schweizerischer Gewerkschaftsbund,5002326,,,Pension funding,Geschftäftsführende Sekretärin des Schweizerischen Gewerkschaftsbundes (SGB),,
8,8,Raphaël Tschanz,UBS AG,6667117,5315606,,Big banks,,,
254,8,0,0,0,0,,0,0,,0
9,9,Stefan Wyer,Pesönlicher Mitarbeiter,5716363,5716363,,0,"Kommunikations- und Public-Affairs-Berater, ehemaliger persönlicher Mitarbeiter von Bundesrätin Ruth Metzler-Arnold",,"Lobbyist, kein persönlicher Mitarbeiter."
255,9,René Rall,Schweizerischer Anwaltsverband,853602,853602,,Other social activities without accommodation,Generalsektretär Sschweizerischer Anwaltsverband,,
10,10,Max Nötzli,Verband auto-schweiz,359276,1030082,,Activities of professional membership organisations,,,
256,10,Roger Schnegg,Swiss Olympic,6328894,6328894,,Activities of sport clubs,,,
11,11,Martin Flügel,Travail.Suisse,4589513,4589513,,0,,,
257,11,Susanne Blank,Travail.Suisse,5747169,,,0,"Cheredaktorin ""Die Volkswirtschaft"", Staatssekretariat für Wirtschaft Seco",,
12,12,0,0,0,0,,0,0,,0
258,12,0,0,0,0,,0,0,,0
13,13,Regula Mühlebach,"Schweizerischer Mieterinnen- und Mieterverband, Deutschschweiz (SMV/D)",5414310,5414310,,0,,,
259,13,Ulrich Keller,Schweizerischer Verband für Wohnungswesen,4325114,268223,,Pension funding,,,
14,14,Lionel Ricou,CURAVIVA Suisse / Cabinet privé de conseils SA,5135121,5135121,,0,Public-Affairs-Spezialist,,
260,14,0,0,0,0,,0,0,,0
15,15,Emil Kälin,Pesönlicher Mitarbeiter,6262668,4465470,,0,Generalsekretär Volkswirtschaftsdirektion Uri,,
261,15,Edith Baumann,Gast,51996,51997,,Freight transport by road,Ehefrau von Isidor Baumann,,
16,16,Martin Zenhäusern,Zenhäusern & Partner AG,540164,736914,,0,"Ex-Coach von Ruth Metzler und Joseph Deiss, Ex-Pressesprecher CVP Wallis",,Intransparent!
262,16,Nathalie Gysi,Green Cross Schweiz,1058766,1058766,,0,,,
17,17,Natacha Berberat,Gast,0,p22005158400,,Freight transport by road,Ehefrau,,
263,17,Florence Meyer,Ville de La Chaux-de-Fonds,5138077,,,"Accounting, bookkeeping and auditing activities; tax consultancy",Verantwortliche für Aussenangelegenheiten bei der Stadt La Chaux-de-Fonds,,
18,18,Alain Bovard,"Amnesty International, Section Suisse",4323098,,,0,,,
264,18,Daniel Roth,Gast,6686373,,,Freight transport by road,Ehemann,,
19,19,Stefan Vannoni,economiesuisse,5003241,5591444,,Activities of business and employers membership organisations,Stv. Leiter allgemeine Wirtschaftspolitik & Bildung bei Economiesuisse,,
265,19,0,0,0,0,,0,0,,0
