id,zeile,badgegeber_id,name,deklarierte_funktion,infocube_url,infocube_id,mandat_aktiv,bemerkungen,quelle,rote_flagge
1,1,1,"Vincenzo Pedrazzini","FDP.Die Liberalen",http://infocube.ch/de/p/370844/pedrazzini-vincenzo-maria-michelangelo#activeMandates,370844.0,"","","",""
2,2,2,"Donat Schneider","Ladwirtschaftliche Organisation Bern und der angrenzenden Gebiete (LOBAG)",http://infocube.ch/de/p/4937033/schneider-donat,4937033.0,"","","",""
3,3,3,"Etienne Bütikofer","Berufsverband Bildung",https://infocube.ch/de/p/p20003213451/buetikofer-locher-etienne,p20003213451,"","Kursleiter, Bildungs-Berater, Bildungs-Lobbyist","http://www.bürofürbildungsfragen.ch/etienne.htm",""
4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,"Alex Fischer","WWF Schweiz",https://infocube.ch/de/p/p21005293744/fischer-alex,p21005293744,"","Dozent an der Central European University, Budapest",http://publicpolicy.ceu.hu/profiles/faculty/alex_fischer,""
6,6,6,"Kind Andrea",Gast,"Zu ungenau","","","Musikerin (Konzerthackbrett),
Klangschalen-Masseurin und -therapeutin","http://www.hans-altherr.ch/mnukernthema1 http://www.anderscht.ch/anderscht/Kontakt.html",""
7,7,7,"Simon Affolter","Etat de Vaud","Zu ungenau","","","Delegierter des Kantons Waadt für interkantonale und europäische Angelegenheiten",http://www.vd.ch/autorites/departements/dfire/affaires-exterieures/equipe/,""
8,8,8,"Raphaël Tschanz","UBS AG",http://infocube.ch/de/p/5315606/tschanz-raphael#activeMandates,5315606.0,"","","",""
9,9,9,"Stefan Wyer","Pesönlicher Mitarbeiter",http://infocube.ch/de/p/5716363/wyer-stefan,5716363.0,"","Kommunikations- und Public-Affairs-Berater, ehemaliger persönlicher Mitarbeiter von Bundesrätin Ruth Metzler-Arnold",http://www.schenkerkom.ch/team/stefan-wyer/,"Lobbyist, kein persönlicher Mitarbeiter."
10,10,10,"Max Nötzli","Verband auto-schweiz",http://infocube.ch/de/p/1030082/noetzli-bachmann-max,1030082.0,"","","",""
11,11,11,"Martin Flügel",Travail.Suisse,http://infocube.ch/de/p/4589513/fluegel-martin#activeMandates,4589513.0,"","","",""
12,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,13,"Regula Mühlebach","Schweizerischer Mieterinnen- und Mieterverband, Deutschschweiz (SMV/D)",http://infocube.ch/de/p/5414310/muehlebach-regula#inactiveMandates,5414310.0,"","","",""
14,14,14,"Lionel Ricou","CURAVIVA Suisse / Cabinet privé de conseils SA",http://infocube.ch/de/p/5135121/ricou-lionel#activeMandates,5135121.0,"",Public-Affairs-Spezialist,http://www.cpc-pr.ch/cpc/de/lionel-ricou.html,""
15,15,15,"Emil Kälin","Pesönlicher Mitarbeiter",http://infocube.ch/de/p/4465470/kaelin-emil,4465470.0,"","Generalsekretär Volkswirtschaftsdirektion Uri",http://www.ur.ch/de/verwaltung/personenregister/?personen_id=5857,""
16,16,16,"Martin Zenhäusern","Zenhäusern & Partner AG",http://infocube.ch/de/p/736914/zenhaeusern-martin,736914.0,"","Ex-Coach von Ruth Metzler und Joseph Deiss, Ex-Pressesprecher CVP Wallis","Handelszeitung, 17.3.1999",Intransparent!
17,17,17,"Natacha Berberat",Gast,https://infocube.ch/de/p/p22005158400/berberat-seckler-natacha,p22005158400,"",Ehefrau,"",""
18,18,18,"Alain Bovard","Amnesty International, Section Suisse","Zu ungenau","","","","",""
19,19,19,"Stefan Vannoni",economiesuisse,https://infocube.ch/de/p/5591444/vannoni-stefan#activeMandates,5591444.0,"","Stv. Leiter allgemeine Wirtschaftspolitik & Bildung bei Economiesuisse",http://www.economiesuisse.ch/de/ueberuns/mitarbeitende/Seiten/default.aspx,""
20,20,20,"Matthias Dietrich","Informationsdienst für den öffentlichen Verkehr (LITRA)","Zu ungenau","","","Geschäftsführer. War früher in der PR-Abteilung der SBB.",http://www.xing.com/profile/Matthias_Dietrich16,""
21,21,21,"Hans Koller",strasseschweiz,"Zu ungenau","","","","",""
22,22,22,"Sara Stalder","Siftung für Konsumentenschutz",http://infocube.ch/de/p/5701234/stalder-sara,5701234.0,"","","",""
23,23,23,"Marco Taddei","Schweizerischer Verband freier Berufe","Zu ungenau","","","Generalsekretär","",""
24,24,24,"Hans-Ulrich Bigler","Schweizerischer Gewerbeverband (sgv)",https://infocube.ch/de/p/850929/bigler-hans-ulrich,850929.0,"","Und: Vorstand HEV Kanton Zürich",http://www.hansulrich-bigler.ch/person.aspx,""
25,25,25,"Blocher Silvia",Gast,https://infocube.ch/de/p/6895995/blocher-silvia/mandates,6895995.0,"",Ehefrau,"",""
26,26,26,"David Stickelberger",Swissolar,http://infocube.ch/de/p/5646523/stickelberger-david#activeMandates,5646523.0,"","","",""
27,27,27,"Erich Herren","Persönlicher Mitarbeiter",http://infocube.ch/de/p/4867051/herren-erich-gen-eric/mandates,4867051.0,"","","",""
28,28,28,"Urs Martin","Privatklinken Schweiz",http://infocube.ch/de/p/6595970/martin-urs,6595970.0,"","","",""
29,29,29,"Francis Egger","Union Suisse des Paysans",http://infocube.ch/de/p/1073293/egger-francis,1073293.0,"","","",""
30,30,30,"Rudolf Minsch",economiesuisse,http://infocube.ch/de/p/5881302/minsch-rudolf,5881302.0,"","","",""
31,31,31,"Rohner Petra","Persönliche Mitarbeiterin","http://infocube.ch/de/p/1032389/rohner-petra/mandates
(Uneindeutig!!!!)","","","","",""
32,32,32,"Uebersax Judith","SVP Frauen Schweiz","","","","","",""
33,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
