id,badgegeber_id,status,name,deklarierte_funktion,geschlecht,infocube_id_person,kategorie,infocube_id,person.city,person.kanton,bemerkungen
168,168,,Bollag Josef,"Institute for Security Analysis and Strategic Netwroking, Stiftung ISSN",m,363,S,363,Baden,AG,
129,129,,Hans-Rudolf Müller,AXA Versicherungen,m,18642,K,18642,Wiesendangen,ZH,
128,128,,Herbert Winter,Schweizerischer Israelitischer Gemeindebund,m,25037,S,25037,Zürich,ZH,
332,86,,Rudolf Alther,Gesellschaft Schweiz-Albanien,m,33090,S,33090,Goldach,SG,
431,185,,Ambrosetti Renzo,Gewerkschaft Unia,m,33776,S,33776,Monte Carasso,TI,
267,21,alt,Urs Amstutz,Waldwirtschaft Schweiz,m,35427,S,35427,Liestal,BL,
182,182,,Baertschi François,Persönlicher Mitarbeiter,m,45382,1,45382,Carouge GE,GE,
83,83,,Chantal Balet,Cabinet conseils FBL associés,w,46828,M,46828,Grimisuat,VS,
261,15,,Edith Baumann,Gast,w,51997,0,51997,Wassen UR,UR,Ehefrau von Isidor Baumann
242,242,,Beglinger Nick,Swisscleantech,m,56476,M,56476,Zürich,ZH,http://www.handelszeitung.ch/unternehmen/nick-beglinger-suspekter-saubermann
36,36,,Daniel Bulliard,Gast,m,98731,0,98731,Ueberstorf,FR,
106,106,,Gallus Cadonau,Schweizerische Greina-Stiftung / Solaragentur Schweiz,m,103036,S,103036,Zürich,ZH,
175,175,,Cueni Thomas,Interpharma,m,121692,M,121692,Binningen,BL,
208,208,,Dürr Lucius,Schweizerischer Versicherungsverband,m,139779,S,139779,Zürich,ZH,
303,57,,Richard Estermann,Gast,m,152168,0,152168,Kriens,LU,
143,143,alt,Hansjörg Fasnacht,Persönlicher Mitarbeiter,m,155871,1,155871,Tägerwilen,TG,
444,198,,Gfeller Peter,Schweizer Milchproduzenten SMP,m,188532,S,188532,Kappelen,BE,
120,120,,Rolf Hartl,Erdöl-Vereinigung,m,218441,S,218441,Eglisau,ZH,
301,55,,Daniel Heller,Farner Consulting,m,224973,M,224973,Erlinsbach,AG,
259,13,,Ulrich Keller,Schweizerischer Verband für Wohnungswesen,m,268223,S,268223,Zürich,ZH,
100,100,,Stefan Kilchenmann,Swisscom,m,270640,J,270640,Schliern b. Köniz,BE,https://www.xing.com/profiles/Stefan_Kilchenmann
54,54,,Albert Leiser,Hauseigentümerverband Zürich,m,297418,S,297418,Zürich,ZH,
72,72,,Christian Melly,Kanton Wallis,m,329859,2,329859,Anniviers,,
184,184,,Meyer Urs F.,Schweizer Medien,m,335092,S,335092,Solothurn,SO,
1,1,,Vincenzo Pedrazzini,FDP,m,370844,2,370844,Wollerau,SZ,
80,80,,Kurt Rohrbach,Verband Schweizerischer Elektrizitätsunternehmen,m,404341,S,404341,Büren an der Aare,BE,
248,2,,Werner Salzmann,SVP Bern,m,418186,2,418186,Mülchi,BE,Mitglied im Zentralvorstand der SVP Schweiz
288,42,,Laurent Seydoux,GLP,m,451881,2,451881,Plan-les-Ouates,GE,
213,213,,Spicher Georges,Verband der Schweizerischen Cementindustrie Cemsuisse,m,460117,S,460117,Schmitten FR,FR,
492,246,,Stockmann Benedikt,BDP Kanton Zürich,m,472127,2,472127,Dübendorf,ZH,
179,179,,Studerus Konrad,"Studerus und Partner, Zug",m,477648,M,477648,Menzingen,ZG,
366,120,,Valentin Vogt,Schweizerischer Arbeitgeberverband,m,505270,S,505270,Hombrechtikon,ZH,
