id,badgegeber_id,status,name,deklarierte_funktion,infocube_id_person,kategorie,infocube_id,geschlecht,person.city,person.kanton,bemerkungen
1,1,,Vincenzo Pedrazzini,FDP,370844,2,370844,m,Wollerau,SZ,
2,2,,Donat Schneider,Landwirtschaftliche Organisation Bern und der angrenzenden Gebiete Lobag,4937033,S,4937033,m,Diessbach b. Büren,BE,
248,2,,Werner Salzmann,SVP Bern,418186,2,418186,m,Mülchi,BE,Mitglied im Zentralvorstand der SVP Schweiz
3,3,,Etienne Bütikofer,Berufsverband Bildung,p20003213451,S,p20003213451,,,,"Kursleiter, Bildungs-Berater, Bildungs-Lobbyist"
249,3,,Markus Meyer,Präsident Schweizerisches Kompetenzzentrum Fischerei SKF,,S,,,,,"Präsident Bernisch Kantonaler Fischerei-Verband, Rechtsanwalt bei Bracher & Partner, Spezialist für Wirtschafts-, Verwaltungs- und Baurecht, über öffentliche Suchmaske zu wenig eindeutig. Privatadresse: Eisenbahnstrasse 11, 4901 Langenthal"
5,5,,Alex Fischer,WWF Schweiz,p21005293744,S,p21005293744,,,,"Dozent an der Central European University, Budapest"
,5,neu,Gebhard Marc,Gast,,,,,,,
6,6,,Kind Andrea,Gast,,0,,,,,"Musikerin (Konzerthackbrett),
Klangschalen-Masseurin und -therapeutin"
253,7,,Dore Heim,Schweizerischer Gewerkschaftsbund,,S,,,,,Geschftäftsführende Sekretärin des Schweizerischen Gewerkschaftsbundes (SGB)
7,7,,Simon Affolter,Etat de Vaud,,2,,,,,Delegierter des Kantons Waadt für interkantonale und europäische Angelegenheiten
8,8,,Raphaël Tschanz,UBS,5315606,K,5315606,m,Zürich,ZH,
255,9,,René Rall,Schweizerischer Anwaltsverband,853602,S,853602,m,Bern,BE,Generalsektretär Sschweizerischer Anwaltsverband
9,9,,Stefan Wyer,Pesönlicher Mitarbeiter,5716363,1,5716363,m,Spiez,BE,"Kommunikations- und Public-Affairs-Berater, ehemaliger persönlicher Mitarbeiter von Bundesrätin Ruth Metzler-Arnold"
10,10,,Max Nötzli,Auto-Schweiz,1030082,S,1030082,m,Muri b. Bern,BE,
256,10,,Roger Schnegg,Swiss Olympic,6328894,R,6328894,m,Münchenbuchsee,BE,
11,11,,Martin Flügel,Travailsuisse,4589513,S,4589513,m,Bern,BE,
257,11,alt,Susanne Blank,Travailsuisse,,S,,,,,"Cheredaktorin ""Die Volkswirtschaft"", Staatssekretariat für Wirtschaft Seco"
,11,neu,Fischer Gabriel,Travailsuisse,,,,,,,
13,13,,Regula Mühlebach,Schweizerischer Mieterinnen- und Mieterverband Deutschschweiz SMV / D,5414310,S,5414310,F,Zürich,ZH,
259,13,,Ulrich Keller,Schweizerischer Verband für Wohnungswesen,268223,S,268223,m,Zürich,ZH,
14,14,,Lionel Ricou,Curaviva / Cabinet privé de conseils,5135121,Q,5135121,m,Genève,GE,Public-Affairs-Spezialist
261,15,,Edith Baumann,Gast,51997,0,51997,F,Wassen UR,UR,Ehefrau von Isidor Baumann
15,15,,Emil Kälin,Pesönlicher Mitarbeiter,4465470,1,4465470,m,Altdorf UR,UR,Generalsekretär Volkswirtschaftsdirektion Uri
16,16,,Martin Zenhäusern,Zenhäusern und Partner,736914,M,736914,m,Jona,SG,"Ex-Coach von Ruth Metzler und Joseph Deiss, Ex-Pressesprecher CVP Wallis"
262,16,,Nathalie Gysi,Green Cross Schweiz,1058766,S,1058766,F,Zürich,ZH,
263,17,,Florence Meyer,Ville de La Chaux-de-Fonds,,2,,,,,Verantwortliche für Aussenangelegenheiten bei der Stadt La Chaux-de-Fonds
17,17,,Natacha Berberat,Gast,p22005158400,0,p22005158400,,,,Ehefrau
18,18,,Alain Bovard,"Amnesty International, Section Suisse",,S,,,,,
264,18,,Daniel Roth,Gast,,0,,,,,Ehemann
19,19,,Stefan Vannoni,Economiesuisse,5591444,S,5591444,m,Basel,BS,Stv. Leiter allgemeine Wirtschaftspolitik & Bildung bei Economiesuisse
