id,badge_id,name,role,status,noga,nogaCode
"5033251","235","Stiftung für die Unterstützung der Forschung im Bereich Seilbahnen","president","active","Cultural, education, scientific and research organisations","S"
"70954","235","Schweizer Reisekasse (Reka) Genossenschaft","member","active","Holiday apartments, holiday homes","I"
"712164","235","SchweizMobil","member","active","Other interest groups","S"
"310378","235","Verband öffentlicher Verkehr, Genossenschaft (VöV)","director","active","Activities of professional membership organisations","S"
"7124388","235","Bärn fägt - Stiftung für Berner Spiel-, Sport- und Erlebnistage","authorized signatory","active","Other sports activities","R"
"811363","242","Extramedia Holding AG","president of the board of directors","active","Investment intermediation","K"
"82791","242","Maxmakers AG","vice-president","active","Other financial intermediation n.e.c.","K"
"7200315","242","Cleantech Agentur Schweiz","vice-president","active","Business and other management consultancy activities","M"
"5638490","242","Foundation for Global Sustainability (FFGS)","delegate","active","Research and experimental development on social sciences and humanities","M"
"6569447","242","Stiftung Global Infrastructure Basel","member","active","Cultural, education, scientific and research organisations","S"
"818565","245","Schweizerische Bundesbahnen SBB","authorized signatory","active","Passenger rail transport, interurban","H"
"83722","491","Ferienheimgenossenschaft SEV","president","active","Hotels, inns and guesthouses with restaurants","I"
"108671","491","SEV - Gewerkschaft des Verkehrspersonals","president","active","Activities of trade unions","S"
"3749","491","Coop Rechtsschutz AG","member","active","Accident and indemnity insurance","K"
"70243","491","SEV Versicherungen Genossenschaft   in Liquidation","member","inbreakup","Life insurance","K"
"224004","491","Pensionskasse des Schweizerischen Eisenbahn- und Verkehrspersonal-Verbandes","member","active","Pension funding","K"
"331779","246","Lothar Ziörjen, Architekturbüro","authorized signatory","active","Architects","M"
"727357","492","Verein Pro Waldmannsburg","member","active","Other interest groups","S"
"10084","492","Lenzlinger Söhne AG","authorized signatory","active","Laying of floor coverings","F"
"6443028","492","Lenzlinger Söhne AG","authorized signatory","active","Laying of floor coverings","F"
"6491513","492","Lenzlinger Fils SA","authorized signatory","active","Laying of floor coverings","F"
"7112076","492","Lenzlinger Söhne AG","authorized signatory","active","Laying of floor coverings","F"
"70624","255","Pensionskasse Schweizerischer Anwaltsverband (PK SAV)","member","active","Pension funding","K"
"117243","255","Unterstützungsfonds des Schweizerischen Anwaltsverbandes","member","active","Other social activities without accommodation","Q"
"357518","175","Verein Hilfe für seelisch Leidende Basel","president","active","Charitable institutions","Q"
"6783413","175","Stiftung Hilfe für seelisch Leidende Basel","president","active","Charitable institutions","Q"
"163174","175","Interpharma","general secretary","active","Other research and experimental development on natural sciences and engineering","M"
"698007","423","Association pour la Mise en valeur des Travaux de la Recherche Agronomique","president","active","Other interest groups","S"
"765433","423","Agro-Marketing Suisse (AMS)","vice-president","active","Other interest groups","S"
"318134","423","Vorsorgestiftung der Schweizerischen Landwirtschaft","member","active","Pension funding","K"
"653780","423","Le Journal Agri Sàrl","diverse","active","Publishing of newspapers","J"
"74971","424","CAVO-Stiftung","member","active","Other interest groups","S"
"293364","424","Stiftung Technische Obstverwertung Wädenswil","member","active","Other interest groups","S"
"15126","424","Schweizer Obstverband","vice-director","active","Activities of business and employers membership organisations","S"
"4467299","179","Labor Veritas AG","vice-president","active","Technical testing and analysis","M"
"5718242","179","Studerus und Partner AG","single member of the board of directors","active","Business and other management consultancy activities","M"
"232528","179","Personalvorsorgestiftung Labor Veritas","member","active","Pension funding","K"
"239607","179","Probat Heizungssysteme AG","member","active","lnstallation of heating, ventilation and air-conditioning systems","F"
"5698245","183","Maurer Partner Communications AG","president of the board of directors","active","Public relations and communication activities","M"
"4398641","183","Thomas C. Maurer & Partner","fully liable partner","active","Public relations and communication activities","M"
"24080","184","Meyer-Wyss & Partner AG","member","active","Other information service activities n.e.c.","J"
