id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id
1,1,Fabio,Abate,m,SR,PLR.I Liberali Radicali,TI,0,0
2,2,Andreas,Aebi,m,NR,SVP,BE,http://infocube.ch/de/p/418186/salzmann-werner,418186
3,3,Matthias,Aebischer,m,NR,SPS,BE,,
4,4,Thomas,Aeschi,m,NR,SVP,ZG,0,0
5,5,Evi,Allemann,w,NR,SPS,BE,0,0
6,6,Hans,Altherr,m,SR,FDP.Die Liberalen,AR,0,0
7,7,Cesla Virginia,Amarelle,w,NR,PSS,VD,Kein Eintrag,
8,8,CÃ©line Marie-Claire,Amaudruz,w,NR,UDC,GE,0,0
9,9,Viola,Amherd,w,NR,CVP,VS,http://infocube.ch/de/p/853602/rall-rene,853602
10,10,Adrian,Amstutz,m,NR,SVP,BE,http://infocube.ch/de/p/6328894/schnegg-roger,6328894
11,11,Josiane,Aubert,w,NR,PSS,VD,,
12,12,Caspar,Baader-Buri,m,NR,SVP,BL,0,0
13,13,Jacqueline,Badran,w,NR,SPS,ZH,http://infocube.ch/de/p/268223/keller-ulrich,268223
14,14,Luc,Barthassat,m,NR,PDC,GE,0,0
15,15,Isidor,Baumann,m,SR,CVP,UR,http://infocube.ch/de/p/51997/baumann-edith,51997
16,16,Martin,BÃ¤umle,m,NR,glp,ZH,http://infocube.ch/de/p/1058766/gysi-nathalie#activeMandates,1058766
17,17,Didier,Berberat,m,SR,PSS,NE,Zu ungenau,
18,18,Maria,Bernasconi,w,NR,PSS,GE,zu ungenau,
19,19,Kathrin,Bertschy,w,NR,glp,BE,0,0
20,20,Peter,Bieri,m,SR,CVP,ZG,Zu ungenau,
21,21,Max,Binder,m,NR,SVP,ZH,http://infocube.ch/de/p/35427/amstutz-urs,35427
22,22,Prisca,Birrer-Heimo,w,NR,SPS,LU,0,0
23,23,Pirmin Josef,Bischof,m,SR,CVP,SO,0,0
24,24,Ivo,Bischofberger,m,SR,CVP,AI,0,0
25,25,Christoph,Blocher,m,NR,SVP,ZH,,
26,26,Thomas,BÃ¶hni,m,NR,glp,TG,Kein Eintrag,
27,27,Roland F.,Borer,m,NR,SVP,SO,Kein Resultat,
28,28,Toni,Bortoluzzi-Elmer,m,NR,SVP,ZH,Zu ungenau,
29,29,Jacques,Bourgeois,m,NR,PLR.Les LibÃ©raux-Radicaux,FR,http://infocube.ch/de/p/1035028/glauser-fritz,1035028
30,30,Heinz,Brand-Ciocco,m,NR,SVP,GR,0,0
31,31,Pascale,Bruderer Wyss,w,SR,SPS,AG,0,0
32,32,Toni,Brunner,m,NR,SVP,SO,,
33,33,Roland Rino,BÃ¼chel,m,NR,SVP,SG,0,0
34,34,Jakob,BÃ¼chler-Giger,m,NR,CVP,SG,Zu ungenau,
35,35,AndrÃ©,Bugnon,m,NR,UDC,VC,,
36,36,Christine,Bulliard-Marbach,w,NR,CVP,FR,Zu ungenau,
37,37,Yannick,Buttet,m,NR,PDC,VS,http://infocube.ch/de/p/727481/squaratti-alfred#activeMandates,727481
38,38,Martin,Candinas,m,NR,CVP,GR,0,0
39,39,Marina,Carobbio Guscetti,w,NR,PSS,TI,,
40,40,Andrea Claudio,Caroni,m,NR,FDP.Die Liberalen,AR,0,0
41,41,Ignazio,Cassis,m,NR,PLR.I Liberali Radicali,TI,0,0
42,42,Isabelle,Chevalley,w,NR,pvl,VD,https://infocube.ch/de/p/451881/seydoux-laurent#activeMandates,451881
43,43,Max,Chopard-Acklin,m,NR,SPS,AG,https://infocube.ch/de/p/4377053/widmer-jean-marc#inactiveMandates,4377053
