id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id,geschlecht
1,1,Fabio,Abate,,SR,PLR.I Liberali Radicali,TI,0.0,0.0,m
2,2,Andreas,Aebi,,NR,SVP,BE,http://infocube.ch/de/p/418186/salzmann-werner,418186.0,m
3,3,Matthias,Aebischer,,NR,SPS,BE,,,m
4,4,Thomas,Aeschi,,NR,SVP,ZG,0.0,0.0,m
5,5,Evi,Allemann,,NR,SPS,BE,0.0,0.0,w
6,6,Hans,Altherr,,SR,FDP.Die Liberalen,AR,0.0,0.0,m
7,7,Cesla Virginia,Amarelle,,NR,PSS,VD,Kein Eintrag,,w
8,8,Céline Marie-Claire,Amaudruz,,NR,UDC,GE,0.0,0.0,w
9,9,Viola,Amherd,,NR,CVP,VS,http://infocube.ch/de/p/853602/rall-rene,853602.0,w
10,10,Adrian,Amstutz,,NR,SVP,BE,http://infocube.ch/de/p/6328894/schnegg-roger,6328894.0,m
11,11,Josiane,Aubert,,NR,PSS,VD,,,w
12,12,Caspar,Baader-Buri,,NR,SVP,BL,0.0,0.0,m
13,13,Jacqueline,Badran,,NR,SPS,ZH,http://infocube.ch/de/p/268223/keller-ulrich,268223.0,w
14,14,Luc,Barthassat,,NR,PDC,GE,0.0,0.0,m
15,15,Isidor,Baumann,,SR,CVP,UR,http://infocube.ch/de/p/51997/baumann-edith,51997.0,m
16,16,Martin,Bäumle,,NR,glp,ZH,http://infocube.ch/de/p/1058766/gysi-nathalie#activeMandates,1058766.0,m
17,17,Didier,Berberat,,SR,PSS,NE,Zu ungenau,,m
18,18,Maria,Bernasconi,,NR,PSS,GE,zu ungenau,,w
19,19,Kathrin,Bertschy,,NR,glp,BE,0.0,0.0,w
20,20,Peter,Bieri,,SR,CVP,ZG,Zu ungenau,,m
21,21,Max,Binder,,NR,SVP,ZH,http://infocube.ch/de/p/35427/amstutz-urs,35427.0,m
22,22,Prisca,Birrer-Heimo,,NR,SPS,LU,0.0,0.0,w
23,23,Pirmin Josef,Bischof,,SR,CVP,SO,0.0,0.0,m
24,24,Ivo,Bischofberger,,SR,CVP,AI,0.0,0.0,m
25,25,Christoph,Blocher,,NR,SVP,ZH,,,m
26,26,Thomas,Böhni,,NR,glp,TG,Kein Eintrag,,m
27,27,Roland F.,Borer,,NR,SVP,SO,Kein Resultat,,m
28,28,Toni,Bortoluzzi-Elmer,,NR,SVP,ZH,Zu ungenau,,m
29,29,Jacques,Bourgeois,,NR,PLR.Les Libéraux-Radicaux,FR,http://infocube.ch/de/p/1035028/glauser-fritz,1035028.0,m
30,30,Heinz,Brand-Ciocco,,NR,SVP,GR,0.0,0.0,m
31,31,Pascale,Bruderer Wyss,,SR,SPS,AG,0.0,0.0,w
32,32,Toni,Brunner,,NR,SVP,SO,,,m
33,33,Roland Rino,Büchel,,NR,SVP,SG,0.0,0.0,m
34,34,Jakob,Büchler-Giger,,NR,CVP,SG,Zu ungenau,,m
35,35,André,Bugnon,,NR,UDC,VC,,,m
36,36,Christine,Bulliard-Marbach,,NR,CVP,FR,Zu ungenau,,w
37,37,Yannick,Buttet,,NR,PDC,VS,http://infocube.ch/de/p/727481/squaratti-alfred#activeMandates,727481.0,m
38,38,Martin,Candinas,,NR,CVP,GR,0.0,0.0,m
39,39,Marina,Carobbio Guscetti,,NR,PSS,TI,,,w
40,40,Andrea Claudio,Caroni,,NR,FDP.Die Liberalen,AR,0.0,0.0,m
41,41,Ignazio,Cassis,,NR,PLR.I Liberali Radicali,TI,0.0,0.0,m
42,42,Isabelle,Chevalley,,NR,pvl,VD,https://infocube.ch/de/p/451881/seydoux-laurent#activeMandates,451881.0,w
43,43,Max,Chopard-Acklin,,NR,SPS,AG,https://infocube.ch/de/p/4377053/widmer-jean-marc#inactiveMandates,4377053.0,m
44,44,Raphaël,Comte,,SR,PLR.Les Libéraux-Radicaux,NE,0.0,0.0,m
45,45,Robert-Christian,Cramer,,SR,GPS,GE,,,m
46,46,Christophe,Darbellay,,NR,PDC,VS,,,m
